name,price,rating,link,image
TANMAYI Ayurveda Hair Care Oil 100ml,₹499,4.5 ,https://www.amazon.in/TANMAYI-Ayurveda-Hair-Care-100ml/dp/B0CY2VH5ZM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6HJeHQN0i2e2sA7GwSjKxIngHfs74D4CNwfthNG1yaAJ6Gt1Em6iIfczgW6Etp8YWmJ7xShoXaTOprnu5BSisMifdCkTMj4js0w2b0DETMYwQ7xku3weGELATUDQ9bujqIt_axPcMm-Axj-4NlneLg0-GPKoe0hmNlTLJ80KaJE2Q7OoGa4Cw3ZVaIW2WFMoyrpS1DkmIOfawz3A_4ifjRUjpG7zcoTkk3JuJZfJvlh3WM5XuYeqYGSF9eyiP-UxlVhvnCtDvhTyd175WduTQ1FgGhCXB-is6tbh47fu1Xg.JKA0k6otOShSNV6liYbAXZQ-uen3y_AtR0tyvrGm4LA&dib_tag=se&keywords=tanmayi&qid=1711986003&sr=8-1,https://m.media-amazon.com/images/I/61YbNcf9lHL._AC_UL320_.jpg
TANMAYI Ayurveda Hair Care Oil 100ml,₹499,4.5 ,https://www.amazon.in/TANMAYI-Ayurveda-Hair-Care-100ml/dp/B0CY2VH5ZM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6HJeHQN0i2e2sA7GwSjKxIngHfs74D4CNwfthNG1yaAJ6Gt1Em6iIfczgW6Etp8YWmJ7xShoXaTOprnu5BSisMifdCkTMj4js0w2b0DETMYwQ7xku3weGELATUDQ9bujqIt_axPcMm-Axj-4NlneLg0-GPKoe0hmNlTLJ80KaJE2Q7OoGa4Cw3ZVaIW2WFMoyrpS1DkmIOfawz3A_4ifjRUjpG7zcoTkk3JuJZfJvlh3WM5XuYeqYGSF9eyiP-UxlVhvnCtDvhTyd175WduTQ1FgGhCXB-is6tbh47fu1Xg.JKA0k6otOShSNV6liYbAXZQ-uen3y_AtR0tyvrGm4LA&dib_tag=se&keywords=tanmayi&qid=1711986003&sr=8-1,https://m.media-amazon.com/images/I/61YbNcf9lHL._AC_UL320_.jpg
Satya Tanmayi Dhoop Sticks Box | 12 Packs of 12 Sticks in a Box | Export Quality,₹289,4.3 ,https://www.amazon.in/Satya-Tanmayi-Sticks-Export-Quality/dp/B07539PZX4/ref=sr_1_2?dib=eyJ2IjoiMSJ9.6HJeHQN0i2e2sA7GwSjKxIngHfs74D4CNwfthNG1yaAJ6Gt1Em6iIfczgW6Etp8YWmJ7xShoXaTOprnu5BSisMifdCkTMj4js0w2b0DETMYwQ7xku3weGELATUDQ9bujqIt_axPcMm-Axj-4NlneLg0-GPKoe0hmNlTLJ80KaJE2Q7OoGa4Cw3ZVaIW2WFMoyrpS1DkmIOfawz3A_4ifjRUjpG7zcoTkk3JuJZfJvlh3WM5XuYeqYGSF9eyiP-UxlVhvnCtDvhTyd175WduTQ1FgGhCXB-is6tbh47fu1Xg.JKA0k6otOShSNV6liYbAXZQ-uen3y_AtR0tyvrGm4LA&dib_tag=se&keywords=tanmayi&qid=1711986003&sr=8-2,https://m.media-amazon.com/images/I/41CK+qDHVOL._AC_UL320_.jpg
"ASHVAH Tanmayi Name Customizable Stylish Fridge Sticker Magnet - Personality Trait Quotes - Gift for Friend, Son, Daughter, Kids, Husband, Wife",₹299,4.0 ,https://www.amazon.in/ASHVAH-Tanmayi-Customizable-Stylish-Sticker/dp/B0B3WYPL7N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.6HJeHQN0i2e2sA7GwSjKxIngHfs74D4CNwfthNG1yaAJ6Gt1Em6iIfczgW6Etp8YWmJ7xShoXaTOprnu5BSisMifdCkTMj4js0w2b0DETMYwQ7xku3weGELATUDQ9bujqIt_axPcMm-Axj-4NlneLg0-GPKoe0hmNlTLJ80KaJE2Q7OoGa4Cw3ZVaIW2WFMoyrpS1DkmIOfawz3A_4ifjRUjpG7zcoTkk3JuJZfJvlh3WM5XuYeqYGSF9eyiP-UxlVhvnCtDvhTyd175WduTQ1FgGhCXB-is6tbh47fu1Xg.JKA0k6otOShSNV6liYbAXZQ-uen3y_AtR0tyvrGm4LA&dib_tag=se&keywords=tanmayi&qid=1711986003&sr=8-6,https://m.media-amazon.com/images/I/61l9seaNlGL._AC_UL320_.jpg
